xcoord,ycoord,cases,distw1,elevation1,calcium1,pH1,swater1,rainfall1,evi1
182525.1308,3948.3828,3,0.159775689,188.2586212,17.04010582,65.2800827,23.89185524,3.3837533,3534.681885
182525.1308,-16051.6172,1,0.173903733,194.0527191,13.4097147,58.02180099,28.78730202,3.613116264,3843.271484
182525.1308,-36051.6172,24,0.044993546,219.1293793,19.49464607,66.39476013,23.64680099,2.931450367,2553.279785
182525.1308,-56051.6172,2,0.093662158,210.144516,19.04443169,69.77925873,25.08860779,2.210237026,2906.185303
202525.1308,3948.3828,2,0.088291481,207.9598236,11.48025417,56.59664917,24.7750473,3.37840867,3590.807861
202525.1308,-36051.6172,1,0.126992822,248.0767975,13.02321911,57.26210022,24.55545616,3.06654048,3866.758789
222525.1308,23948.3828,1,0.067963324,211.3402863,16.64341927,65.83779144,24.31104469,2.384516001,3001.334473
222525.1308,-116051.6172,1,0.088065878,211.3665771,20.42704582,72.04061127,27.10327911,1.987203598,1985.972168
222525.1308,-136051.6172,1,0.077424861,205.3403778,22.62573433,70.14614868,27.48277092,2.064315319,2054.443604
242525.1308,-76051.6172,2,0.060140334,248.8600311,2.967473269,52.98592377,27.34556389,5.061540604,4958.5625
242525.1308,-96051.6172,2,0.115183786,252.9751129,2.93410182,55.55725479,30.17027855,4.441999435,5019.9375
242525.1308,-116051.6172,11,0.205357313,241.9388428,6.315565586,54.372509,28.60497284,3.837370396,5072.101074
242525.1308,-136051.6172,76,0.069968902,212.7705383,8.734282494,58.26371384,21.09831047,2.892828941,3423.608154
242525.1308,-156051.6172,14,0.178612798,205.4456635,10.59856129,59.66781235,23.87440681,2.527845621,3132.614746
242525.1308,-236051.6172,1,0.230625957,196.1723938,12.11030102,66.60428619,28.23432922,1.856682897,2374.896973
262525.1308,-56051.6172,3,0.085877687,246.8616943,5.269556046,53.55199814,27.31424713,3.991076708,4930.580566
262525.1308,-76051.6172,3,0.113910034,243.3575287,3.657270908,52.84609604,25.56390572,4.954642296,5053.192871
262525.1308,-96051.6172,3,0.218636706,233.5621033,5.680573463,53.10136414,23.70623016,3.924651861,4781.36084
262525.1308,-116051.6172,9,0.153349534,223.1483612,10.97724247,57.08247757,21.64385033,2.949832439,4009.236816
